category,sample_count,sample_ratio,split
card_payment_fee_charged,159,0.01737894851896382,train
balance_not_updated_after_cheque_or_cash_deposit,155,0.016941742266914417,train
direct_debit_payment_not_recognised,155,0.016941742266914417,train
wrong_amount_of_cash_received,154,0.016832440703902066,train
cash_withdrawal_charge,152,0.016613837577877363,train
transaction_charged_twice,150,0.01639523445185266,train
declined_cash_withdrawal,149,0.01628593288884031,train
transfer_fee_charged,148,0.01617663132582796,train
transfer_not_received_by_recipient,148,0.01617663132582796,train
balance_not_updated_after_bank_transfer,148,0.01617663132582796,train
card_payment_not_recognised,146,0.015958028199803256,train
request_refund,146,0.015958028199803256,train
card_payment_wrong_exchange_rate,145,0.015848726636790905,train
extra_charge_on_statement,144,0.015739425073778554,train
wrong_exchange_rate_for_cash_withdrawal,142,0.015520821947753853,train
Refund_not_showing_up,141,0.015411520384741502,train
reverted_card_payment?,141,0.015411520384741502,train
cash_withdrawal_not_recognised,140,0.015302218821729151,train
activate_my_card,139,0.0151929172587168,train
pending_card_payment,139,0.0151929172587168,train
cancel_transfer,138,0.015083615695704449,train
beneficiary_not_allowed,137,0.014974314132692098,train
card_arrival,135,0.014755711006667395,train
declined_card_payment,135,0.014755711006667395,train
pending_top_up,132,0.014427806317630342,train
pending_transfer,132,0.014427806317630342,train
top_up_reverted,130,0.01420920319160564,train
top_up_failed,129,0.014099901628593288,train
pending_cash_withdrawal,128,0.013990600065580937,train
card_linking,125,0.013662695376543885,train
failed_transfer,124,0.013553393813531534,train
visa_or_mastercard,122,0.013334790687506832,train
declined_transfer,121,0.01322548912449448,train
supported_cards_and_currencies,118,0.012897584435457427,train
country_support,118,0.012897584435457427,train
card_about_to_expire,118,0.012897584435457427,train
getting_spare_card,118,0.012897584435457427,train
transfer_timing,118,0.012897584435457427,train
automatic_top_up,117,0.012788282872445076,train
apple_pay_or_google_pay,116,0.012678981309432725,train
fiat_currency_support,116,0.012678981309432725,train
verify_top_up,116,0.012678981309432725,train
