true_category,predicted_category,error_count
virtual_card_not_working,get_disposable_virtual_card,4
transfer_fee_charged,top_up_by_bank_transfer_charge,4
wrong_amount_of_cash_received,declined_cash_withdrawal,3
unable_to_verify_identity,why_verify_identity,3
transfer_timing,transfer_not_received_by_recipient,3
transfer_timing,pending_transfer,3
declined_transfer,declined_card_payment,3
declined_transfer,failed_transfer,3
Refund_not_showing_up,request_refund,2
disposable_card_limits,get_disposable_virtual_card,2
order_physical_card,getting_spare_card,2
fiat_currency_support,supported_cards_and_currencies,2
failed_transfer,balance_not_updated_after_bank_transfer,2
declined_cash_withdrawal,declined_transfer,2
pending_cash_withdrawal,cash_withdrawal_not_recognised,2
declined_cash_withdrawal,beneficiary_not_allowed,2
declined_card_payment,declined_transfer,2
pending_cash_withdrawal,card_swallowed,2
supported_cards_and_currencies,fiat_currency_support,2
pin_blocked,get_physical_card,2
pin_blocked,lost_or_stolen_card,2
cash_withdrawal_charge,cash_withdrawal_not_recognised,2
top_up_by_bank_transfer_charge,transfer_into_account,2
top_up_by_cash_or_cheque,verify_my_identity,2
top_up_failed,top_up_reverted,2
top_up_reverted,top_up_failed,2
transfer_into_account,supported_cards_and_currencies,2
verify_source_of_funds,balance_not_updated_after_bank_transfer,2
why_verify_identity,unable_to_verify_identity,2
compromised_card,lost_or_stolen_card,2
wrong_exchange_rate_for_cash_withdrawal,wrong_amount_of_cash_received,2
card_arrival,card_delivery_estimate,2
card_delivery_estimate,card_arrival,2
card_delivery_estimate,order_physical_card,2
card_not_working,compromised_card,2
apple_pay_or_google_pay,top_up_by_cash_or_cheque,2
balance_not_updated_after_bank_transfer,pending_transfer,2
card_payment_fee_charged,getting_virtual_card,1
supported_cards_and_currencies,top_up_reverted,1
terminate_account,transfer_timing,1
top_up_by_bank_transfer_charge,transfer_fee_charged,1
card_acceptance,card_not_working,1
card_about_to_expire,card_delivery_estimate,1
top_up_by_card_charge,card_payment_fee_charged,1
top_up_failed,pending_top_up,1
beneficiary_not_allowed,balance_not_updated_after_bank_transfer,1
top_up_reverted,balance_not_updated_after_cheque_or_cash_deposit,1
balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_bank_transfer,1
topping_up_by_card,balance_not_updated_after_cheque_or_cash_deposit,1
topping_up_by_card,receiving_money,1
supported_cards_and_currencies,getting_spare_card,1
reverted_card_payment?,declined_card_payment,1
card_arrival,card_acceptance,1
topping_up_by_card,verify_source_of_funds,1
reverted_card_payment?,card_payment_wrong_exchange_rate,1
reverted_card_payment?,card_arrival,1
request_refund,terminate_account,1
receiving_money,transfer_into_account,1
card_arrival,compromised_card,1
pending_transfer,pending_cash_withdrawal,1
pending_top_up,top_up_reverted,1
pending_top_up,top_up_failed,1
pending_top_up,direct_debit_payment_not_recognised,1
pending_top_up,balance_not_updated_after_cheque_or_cash_deposit,1
pending_cash_withdrawal,pending_transfer,1
card_arrival,top_up_limits,1
topping_up_by_card,top_up_reverted,1
transfer_fee_charged,card_delivery_estimate,1
transaction_charged_twice,declined_card_payment,1
order_physical_card,top_up_by_card_charge,1
wrong_exchange_rate_for_cash_withdrawal,exchange_rate,1
wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,1
wrong_exchange_rate_for_cash_withdrawal,atm_support,1
wrong_amount_of_cash_received,failed_transfer,1
activate_my_card,order_physical_card,1
wrong_amount_of_cash_received,cash_withdrawal_not_recognised,1
why_verify_identity,verify_source_of_funds,1
visa_or_mastercard,passcode_forgotten,1
visa_or_mastercard,card_acceptance,1
atm_support,verify_source_of_funds,1
virtual_card_not_working,disposable_card_limits,1
verify_source_of_funds,balance_not_updated_after_cheque_or_cash_deposit,1
automatic_top_up,top_up_limits,1
verify_my_identity,compromised_card,1
automatic_top_up,topping_up_by_card,1
unable_to_verify_identity,verify_my_identity,1
balance_not_updated_after_bank_transfer,failed_transfer,1
transfer_not_received_by_recipient,transfer_timing,1
transfer_not_received_by_recipient,pending_transfer,1
transfer_not_received_by_recipient,pending_top_up,1
transfer_not_received_by_recipient,direct_debit_payment_not_recognised,1
transfer_not_received_by_recipient,balance_not_updated_after_cheque_or_cash_deposit,1
transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,1
balance_not_updated_after_bank_transfer,transfer_into_account,1
transfer_into_account,failed_transfer,1
transfer_fee_charged,why_verify_identity,1
balance_not_updated_after_bank_transfer,transfer_timing,1
transfer_fee_charged,extra_charge_on_statement,1
transfer_fee_charged,card_payment_fee_charged,1
pending_card_payment,verify_source_of_funds,1
order_physical_card,country_support,1
card_delivery_estimate,country_support,1
card_not_working,top_up_failed,1
direct_debit_payment_not_recognised,extra_charge_on_statement,1
direct_debit_payment_not_recognised,card_payment_not_recognised,1
direct_debit_payment_not_recognised,card_delivery_estimate,1
direct_debit_payment_not_recognised,Refund_not_showing_up,1
declined_transfer,transfer_into_account,1
card_not_working,card_delivery_estimate,1
declined_transfer,cancel_transfer,1
declined_cash_withdrawal,failed_transfer,1
card_not_working,declined_card_payment,1
declined_cash_withdrawal,declined_card_payment,1
declined_cash_withdrawal,cash_withdrawal_charge,1
card_not_working,extra_charge_on_statement,1
declined_card_payment,reverted_card_payment?,1
declined_card_payment,failed_transfer,1
declined_card_payment,declined_cash_withdrawal,1
disposable_card_limits,card_payment_fee_charged,1
country_support,supported_cards_and_currencies,1
country_support,getting_virtual_card,1
country_support,atm_support,1
contactless_not_working,unable_to_verify_identity,1
compromised_card,transaction_charged_twice,1
