,precision,recall,f1-score,support
virtual_card_not_working,0.7,0.5833333333333334,0.6363636363636364,12.0
declined_transfer,0.8181818181818182,0.6923076923076923,0.75,26.0
card_not_working,0.8421052631578947,0.7272727272727273,0.7804878048780488,22.0
lost_or_stolen_card,0.7777777777777778,0.7368421052631579,0.7567567567567568,19.0
card_delivery_estimate,0.7391304347826086,0.7391304347826086,0.7391304347826086,23.0
transfer_fee_charged,0.8888888888888888,0.75,0.8135593220338984,32.0
transfer_timing,0.8260869565217391,0.76,0.7916666666666666,25.0
declined_cash_withdrawal,0.8620689655172413,0.78125,0.819672131147541,32.0
compromised_card,0.75,0.7894736842105263,0.7692307692307693,19.0
order_physical_card,0.7916666666666666,0.7916666666666666,0.7916666666666666,24.0
disposable_card_limits,0.95,0.7916666666666666,0.8636363636363636,24.0
fiat_currency_support,0.8695652173913043,0.8,0.8333333333333334,25.0
transfer_not_received_by_recipient,0.8620689655172413,0.8064516129032258,0.8333333333333334,31.0
topping_up_by_card,0.9444444444444444,0.8095238095238095,0.8717948717948718,21.0
unable_to_verify_identity,0.85,0.8095238095238095,0.8292682926829268,21.0
