margin_threshold,auto_count,manual_count,auto_coverage,manual_review_rate,auto_accuracy,caught_errors,error_capture_rate
0.0,1961,0,1.0,0.0,0.8903620601733809,0,0.0
0.05,1905,56,0.971443141254462,0.02855685874553799,0.9070866141732283,38,0.17674418604651163
0.1,1850,111,0.9433962264150944,0.05660377358490566,0.9216216216216216,70,0.32558139534883723
0.15,1811,150,0.9235084140744518,0.0764915859255482,0.9304251794588625,89,0.413953488372093
0.2,1772,189,0.9036206017338093,0.09637939826619071,0.9396162528216704,108,0.5023255813953489
0.3,1691,270,0.8623151453340132,0.13768485466598673,0.9520993494973389,134,0.6232558139534884
0.4,1632,329,0.8322284548699643,0.1677715451300357,0.9620098039215687,153,0.7116279069767442
0.5,1556,405,0.7934727180010199,0.2065272819989801,0.9710796915167095,170,0.7906976744186046
0.75,1372,589,0.6996430392656807,0.3003569607343192,0.9876093294460642,198,0.9209302325581395
1.0,1156,805,0.5894951555328913,0.4105048444671086,0.9939446366782007,208,0.9674418604651163
