,precision,recall,f1-score,support
Refund_not_showing_up,0.9666666666666667,0.9354838709677419,0.9508196721311475,31.0
activate_my_card,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
age_limit,1.0,1.0,1.0,23.0
apple_pay_or_google_pay,1.0,0.92,0.9583333333333334,25.0
atm_support,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
automatic_top_up,1.0,0.92,0.9583333333333334,25.0
balance_not_updated_after_bank_transfer,0.7878787878787878,0.8387096774193549,0.8125,31.0
balance_not_updated_after_cheque_or_cash_deposit,0.8648648648648649,0.9696969696969697,0.9142857142857143,33.0
beneficiary_not_allowed,0.9333333333333333,0.9655172413793104,0.9491525423728814,29.0
cancel_transfer,0.967741935483871,1.0,0.9836065573770492,30.0
card_about_to_expire,1.0,0.9615384615384616,0.9803921568627451,26.0
card_acceptance,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
card_arrival,0.8275862068965517,0.8275862068965517,0.8275862068965517,29.0
card_delivery_estimate,0.7391304347826086,0.7391304347826086,0.7391304347826086,23.0
card_linking,1.0,0.9629629629629629,0.9811320754716981,27.0
card_not_working,0.8421052631578947,0.7272727272727273,0.7804878048780488,22.0
card_payment_fee_charged,0.8571428571428571,0.8823529411764706,0.8695652173913043,34.0
card_payment_not_recognised,0.9375,0.967741935483871,0.9523809523809523,31.0
card_payment_wrong_exchange_rate,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0
card_swallowed,0.875,0.9333333333333333,0.9032258064516129,15.0
cash_withdrawal_charge,0.9393939393939394,0.9393939393939394,0.9393939393939394,33.0
cash_withdrawal_not_recognised,0.8571428571428571,1.0,0.9230769230769231,30.0
change_pin,1.0,0.9583333333333334,0.9787234042553191,24.0
compromised_card,0.75,0.7894736842105263,0.7692307692307693,19.0
contactless_not_working,1.0,0.9090909090909091,0.9523809523809523,11.0
country_support,0.88,0.88,0.88,25.0
declined_card_payment,0.7741935483870968,0.8275862068965517,0.8,29.0
declined_cash_withdrawal,0.8620689655172413,0.78125,0.819672131147541,32.0
declined_transfer,0.8181818181818182,0.6923076923076923,0.75,26.0
direct_debit_payment_not_recognised,0.9032258064516129,0.8484848484848485,0.875,33.0
disposable_card_limits,0.95,0.7916666666666666,0.8636363636363636,24.0
edit_personal_details,1.0,0.9583333333333334,0.9787234042553191,24.0
exchange_charge,0.84,0.875,0.8571428571428571,24.0
exchange_rate,0.8695652173913043,0.8695652173913043,0.8695652173913043,23.0
exchange_via_app,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
extra_charge_on_statement,0.8787878787878788,0.9354838709677419,0.90625,31.0
failed_transfer,0.75,0.8888888888888888,0.8135593220338984,27.0
fiat_currency_support,0.8695652173913043,0.8,0.8333333333333334,25.0
get_disposable_virtual_card,0.76,0.9047619047619048,0.8260869565217391,21.0
get_physical_card,0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0
getting_spare_card,0.84,0.84,0.84,25.0
getting_virtual_card,0.875,1.0,0.9333333333333333,21.0
lost_or_stolen_card,0.7777777777777778,0.7368421052631579,0.7567567567567568,19.0
lost_or_stolen_phone,0.8888888888888888,1.0,0.9411764705882353,24.0
order_physical_card,0.7916666666666666,0.7916666666666666,0.7916666666666666,24.0
passcode_forgotten,0.9565217391304348,1.0,0.9777777777777777,22.0
pending_card_payment,1.0,0.9666666666666667,0.9830508474576272,30.0
pending_cash_withdrawal,0.9583333333333334,0.8214285714285714,0.8846153846153846,28.0
pending_top_up,0.9230769230769231,0.8571428571428571,0.8888888888888888,28.0
pending_transfer,0.7714285714285715,0.9642857142857143,0.8571428571428571,28.0
pin_blocked,0.9047619047619048,0.8260869565217391,0.8636363636363636,23.0
receiving_money,0.9047619047619048,0.95,0.926829268292683,20.0
request_refund,0.9375,0.967741935483871,0.9523809523809523,31.0
reverted_card_payment?,0.9642857142857143,0.9,0.9310344827586207,30.0
supported_cards_and_currencies,0.7777777777777778,0.84,0.8076923076923077,25.0
terminate_account,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
top_up_by_bank_transfer_charge,0.8333333333333334,0.8695652173913043,0.851063829787234,23.0
top_up_by_card_charge,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
