true_category,predicted_category,confusion_count
virtual_card_not_working,get_disposable_virtual_card,4
transfer_fee_charged,top_up_by_bank_transfer_charge,4
wrong_amount_of_cash_received,declined_cash_withdrawal,3
unable_to_verify_identity,why_verify_identity,3
transfer_timing,transfer_not_received_by_recipient,3
transfer_timing,pending_transfer,3
declined_transfer,declined_card_payment,3
declined_transfer,failed_transfer,3
Refund_not_showing_up,request_refund,2
disposable_card_limits,get_disposable_virtual_card,2
order_physical_card,getting_spare_card,2
fiat_currency_support,supported_cards_and_currencies,2
failed_transfer,balance_not_updated_after_bank_transfer,2
declined_cash_withdrawal,declined_transfer,2
pending_cash_withdrawal,cash_withdrawal_not_recognised,2
declined_cash_withdrawal,beneficiary_not_allowed,2
declined_card_payment,declined_transfer,2
pending_cash_withdrawal,card_swallowed,2
supported_cards_and_currencies,fiat_currency_support,2
pin_blocked,get_physical_card,2
