,precision,recall,f1-score,support
Refund_not_showing_up,0.9666666666666667,0.9354838709677419,0.9508196721311475,31.0
activate_my_card,1.0,0.9,0.9473684210526315,30.0
age_limit,0.9583333333333334,1.0,0.9787234042553191,23.0
apple_pay_or_google_pay,1.0,0.96,0.9795918367346939,25.0
atm_support,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
automatic_top_up,1.0,0.76,0.8636363636363636,25.0
balance_not_updated_after_bank_transfer,0.7714285714285715,0.8709677419354839,0.8181818181818182,31.0
balance_not_updated_after_cheque_or_cash_deposit,0.9117647058823529,0.9393939393939394,0.9253731343283582,33.0
beneficiary_not_allowed,0.8484848484848485,0.9655172413793104,0.9032258064516129,29.0
cancel_transfer,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
card_about_to_expire,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
card_acceptance,0.8235294117647058,1.0,0.9032258064516129,14.0
card_arrival,0.8064516129032258,0.8620689655172413,0.8333333333333334,29.0
card_delivery_estimate,0.7142857142857143,0.6521739130434783,0.6818181818181818,23.0
card_linking,1.0,0.8888888888888888,0.9411764705882353,27.0
card_not_working,0.75,0.6818181818181818,0.7142857142857143,22.0
card_payment_fee_charged,0.8571428571428571,0.8823529411764706,0.8695652173913043,34.0
card_payment_not_recognised,0.8529411764705882,0.9354838709677419,0.8923076923076924,31.0
card_payment_wrong_exchange_rate,0.9642857142857143,0.8709677419354839,0.9152542372881356,31.0
card_swallowed,1.0,0.9333333333333333,0.9655172413793104,15.0
cash_withdrawal_charge,0.9117647058823529,0.9393939393939394,0.9253731343283582,33.0
cash_withdrawal_not_recognised,0.78125,0.8333333333333334,0.8064516129032258,30.0
change_pin,1.0,0.875,0.9333333333333333,24.0
compromised_card,0.7,0.7368421052631579,0.717948717948718,19.0
contactless_not_working,1.0,0.8181818181818182,0.9,11.0
country_support,0.8,0.8,0.8,25.0
declined_card_payment,0.8387096774193549,0.896551724137931,0.8666666666666667,29.0
declined_cash_withdrawal,0.7352941176470589,0.78125,0.7575757575757576,32.0
declined_transfer,0.75,0.6923076923076923,0.72,26.0
direct_debit_payment_not_recognised,0.896551724137931,0.7878787878787878,0.8387096774193549,33.0
disposable_card_limits,0.8695652173913043,0.8333333333333334,0.851063829787234,24.0
edit_personal_details,1.0,0.9583333333333334,0.9787234042553191,24.0
exchange_charge,0.84,0.875,0.8571428571428571,24.0
exchange_rate,0.8333333333333334,0.8695652173913043,0.851063829787234,23.0
exchange_via_app,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
extra_charge_on_statement,0.8928571428571429,0.8064516129032258,0.847457627118644,31.0
failed_transfer,0.7058823529411765,0.8888888888888888,0.7868852459016393,27.0
fiat_currency_support,0.84,0.84,0.84,25.0
get_disposable_virtual_card,0.75,0.8571428571428571,0.8,21.0
get_physical_card,0.8461538461538461,1.0,0.9166666666666666,22.0
getting_spare_card,0.88,0.88,0.88,25.0
getting_virtual_card,0.8333333333333334,0.9523809523809523,0.8888888888888888,21.0
lost_or_stolen_card,0.9230769230769231,0.631578947368421,0.75,19.0
lost_or_stolen_phone,0.8888888888888888,1.0,0.9411764705882353,24.0
order_physical_card,0.6129032258064516,0.7916666666666666,0.6909090909090909,24.0
passcode_forgotten,1.0,0.9545454545454546,0.9767441860465116,22.0
pending_card_payment,0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
pending_cash_withdrawal,1.0,0.8214285714285714,0.9019607843137255,28.0
pending_top_up,1.0,0.8571428571428571,0.9230769230769231,28.0
pending_transfer,0.7941176470588235,0.9642857142857143,0.8709677419354839,28.0
pin_blocked,0.9444444444444444,0.7391304347826086,0.8292682926829268,23.0
receiving_money,0.8571428571428571,0.9,0.8780487804878049,20.0
request_refund,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0
reverted_card_payment?,0.8484848484848485,0.9333333333333333,0.8888888888888888,30.0
supported_cards_and_currencies,0.8214285714285714,0.92,0.8679245283018868,25.0
terminate_account,0.88,1.0,0.9361702127659575,22.0
top_up_by_bank_transfer_charge,0.8,0.8695652173913043,0.8333333333333334,23.0
top_up_by_card_charge,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
top_up_by_cash_or_cheque,0.9523809523809523,0.8695652173913043,0.9090909090909091,23.0
top_up_failed,0.8571428571428571,0.8571428571428571,0.8571428571428571,28.0
top_up_limits,0.9130434782608695,1.0,0.9545454545454546,21.0
top_up_reverted,0.8620689655172413,0.8928571428571429,0.8771929824561403,28.0
topping_up_by_card,0.8947368421052632,0.8095238095238095,0.85,21.0
transaction_charged_twice,0.96875,0.96875,0.96875,32.0
transfer_fee_charged,0.8214285714285714,0.71875,0.7666666666666667,32.0
transfer_into_account,0.84,0.9130434782608695,0.875,23.0
transfer_not_received_by_recipient,0.9230769230769231,0.7741935483870968,0.8421052631578947,31.0
transfer_timing,0.875,0.84,0.8571428571428571,25.0
unable_to_verify_identity,0.8,0.7619047619047619,0.7804878048780488,21.0
verify_my_identity,0.84,0.9545454545454546,0.8936170212765957,22.0
verify_source_of_funds,0.7692307692307693,0.8695652173913043,0.8163265306122449,23.0
verify_top_up,1.0,0.96,0.9795918367346939,25.0
virtual_card_not_working,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0
visa_or_mastercard,0.9615384615384616,0.9259259259259259,0.9433962264150944,27.0
