true_category,predicted_category,confusion_count
virtual_card_not_working,get_disposable_virtual_card,5
wrong_amount_of_cash_received,declined_cash_withdrawal,4
transfer_fee_charged,top_up_by_bank_transfer_charge,4
transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,3
unable_to_verify_identity,why_verify_identity,3
transfer_timing,pending_transfer,3
card_delivery_estimate,order_physical_card,3
pin_blocked,get_physical_card,3
unable_to_verify_identity,verify_my_identity,2
card_linking,order_physical_card,2
order_physical_card,country_support,2
top_up_reverted,top_up_failed,2
declined_cash_withdrawal,beneficiary_not_allowed,2
pin_blocked,card_not_working,2
card_delivery_estimate,card_arrival,2
pending_cash_withdrawal,cash_withdrawal_not_recognised,2
pending_cash_withdrawal,declined_cash_withdrawal,2
card_payment_fee_charged,transfer_fee_charged,2
direct_debit_payment_not_recognised,card_payment_not_recognised,2
cash_withdrawal_not_recognised,wrong_amount_of_cash_received,2
