,precision,recall,f1-score,support
Refund_not_showing_up,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0
activate_my_card,0.725,0.9666666666666667,0.8285714285714286,30.0
age_limit,1.0,1.0,1.0,23.0
apple_pay_or_google_pay,0.96,0.96,0.96,25.0
atm_support,0.8461538461538461,0.6111111111111112,0.7096774193548387,18.0
automatic_top_up,1.0,0.8,0.8888888888888888,25.0
balance_not_updated_after_bank_transfer,0.7777777777777778,0.9032258064516129,0.835820895522388,31.0
balance_not_updated_after_cheque_or_cash_deposit,0.8378378378378378,0.9393939393939394,0.8857142857142857,33.0
beneficiary_not_allowed,0.8709677419354839,0.9310344827586207,0.9,29.0
cancel_transfer,0.9375,1.0,0.967741935483871,30.0
card_about_to_expire,0.7027027027027027,1.0,0.8253968253968254,26.0
card_acceptance,1.0,0.2857142857142857,0.4444444444444444,14.0
card_arrival,0.5882352941176471,0.6896551724137931,0.6349206349206349,29.0
card_delivery_estimate,0.7692307692307693,0.43478260869565216,0.5555555555555556,23.0
card_linking,0.8333333333333334,0.9259259259259259,0.8771929824561403,27.0
card_not_working,0.7058823529411765,0.5454545454545454,0.6153846153846154,22.0
card_payment_fee_charged,0.7111111111111111,0.9411764705882353,0.810126582278481,34.0
card_payment_not_recognised,0.725,0.9354838709677419,0.8169014084507042,31.0
card_payment_wrong_exchange_rate,0.8823529411764706,0.967741935483871,0.9230769230769231,31.0
card_swallowed,1.0,0.7333333333333333,0.8461538461538461,15.0
cash_withdrawal_charge,0.8611111111111112,0.9393939393939394,0.8985507246376812,33.0
cash_withdrawal_not_recognised,0.7575757575757576,0.8333333333333334,0.7936507936507936,30.0
change_pin,0.8846153846153846,0.9583333333333334,0.92,24.0
compromised_card,0.9230769230769231,0.631578947368421,0.75,19.0
contactless_not_working,1.0,0.45454545454545453,0.625,11.0
country_support,0.8695652173913043,0.8,0.8333333333333334,25.0
declined_card_payment,0.7142857142857143,0.8620689655172413,0.78125,29.0
declined_cash_withdrawal,0.6923076923076923,0.84375,0.7605633802816901,32.0
declined_transfer,0.8571428571428571,0.6923076923076923,0.7659574468085106,26.0
direct_debit_payment_not_recognised,0.7777777777777778,0.8484848484848485,0.8115942028985508,33.0
disposable_card_limits,0.5945945945945946,0.9166666666666666,0.7213114754098361,24.0
edit_personal_details,1.0,0.9583333333333334,0.9787234042553191,24.0
exchange_charge,0.95,0.7916666666666666,0.8636363636363636,24.0
exchange_rate,0.9473684210526315,0.782608695652174,0.8571428571428571,23.0
exchange_via_app,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
extra_charge_on_statement,0.8181818181818182,0.8709677419354839,0.84375,31.0
failed_transfer,0.9166666666666666,0.8148148148148148,0.8627450980392157,27.0
fiat_currency_support,0.88,0.88,0.88,25.0
get_disposable_virtual_card,0.6956521739130435,0.7619047619047619,0.7272727272727273,21.0
get_physical_card,0.8947368421052632,0.7727272727272727,0.8292682926829268,22.0
getting_spare_card,0.8695652173913043,0.8,0.8333333333333334,25.0
getting_virtual_card,1.0,0.7142857142857143,0.8333333333333334,21.0
lost_or_stolen_card,1.0,0.2631578947368421,0.4166666666666667,19.0
lost_or_stolen_phone,0.8,1.0,0.8888888888888888,24.0
order_physical_card,0.9285714285714286,0.5416666666666666,0.6842105263157895,24.0
passcode_forgotten,1.0,0.9090909090909091,0.9523809523809523,22.0
pending_card_payment,0.75,0.9,0.8181818181818182,30.0
pending_cash_withdrawal,0.9545454545454546,0.75,0.84,28.0
pending_top_up,0.9166666666666666,0.7857142857142857,0.8461538461538461,28.0
pending_transfer,0.8888888888888888,0.8571428571428571,0.8727272727272727,28.0
pin_blocked,0.9473684210526315,0.782608695652174,0.8571428571428571,23.0
receiving_money,1.0,0.9,0.9473684210526315,20.0
request_refund,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0
reverted_card_payment?,0.9310344827586207,0.9,0.9152542372881356,30.0
supported_cards_and_currencies,0.7419354838709677,0.92,0.8214285714285714,25.0
terminate_account,1.0,0.8636363636363636,0.926829268292683,22.0
top_up_by_bank_transfer_charge,0.8571428571428571,0.782608695652174,0.8181818181818182,23.0
top_up_by_card_charge,0.92,1.0,0.9583333333333334,23.0
top_up_by_cash_or_cheque,0.95,0.8260869565217391,0.8837209302325582,23.0
top_up_failed,0.75,0.8571428571428571,0.8,28.0
top_up_limits,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
top_up_reverted,0.7352941176470589,0.8928571428571429,0.8064516129032258,28.0
topping_up_by_card,0.8666666666666667,0.6190476190476191,0.7222222222222222,21.0
transaction_charged_twice,0.9393939393939394,0.96875,0.9538461538461539,32.0
transfer_fee_charged,0.8214285714285714,0.71875,0.7666666666666667,32.0
transfer_into_account,0.8148148148148148,0.9565217391304348,0.88,23.0
transfer_not_received_by_recipient,0.7272727272727273,0.7741935483870968,0.75,31.0
transfer_timing,0.65625,0.84,0.7368421052631579,25.0
unable_to_verify_identity,0.75,0.42857142857142855,0.5454545454545454,21.0
verify_my_identity,0.8333333333333334,0.9090909090909091,0.8695652173913043,22.0
verify_source_of_funds,0.7692307692307693,0.8695652173913043,0.8163265306122449,23.0
verify_top_up,0.8888888888888888,0.96,0.9230769230769231,25.0
virtual_card_not_working,1.0,0.3333333333333333,0.5,12.0
visa_or_mastercard,1.0,1.0,1.0,27.0
why_verify_identity,0.8,0.8333333333333334,0.8163265306122449,24.0
wrong_amount_of_cash_received,0.7894736842105263,0.9090909090909091,0.8450704225352113,33.0
wrong_exchange_rate_for_cash_withdrawal,0.8709677419354839,0.9,0.8852459016393442,30.0
accuracy,0.8368179500254972,0.8368179500254972,0.8368179500254972,0.8368179500254972
macro avg,0.8599769816143014,0.8177610337407583,0.8225705276784722,1961.0
