true_category,predicted_category,confusion_count
lost_or_stolen_card,lost_or_stolen_phone,5
get_disposable_virtual_card,disposable_card_limits,5
card_delivery_estimate,card_arrival,5
atm_support,declined_cash_withdrawal,4
unable_to_verify_identity,why_verify_identity,4
pending_top_up,top_up_reverted,4
virtual_card_not_working,get_disposable_virtual_card,4
card_swallowed,declined_cash_withdrawal,3
contactless_not_working,card_not_working,3
declined_transfer,declined_card_payment,3
transfer_fee_charged,wrong_amount_of_cash_received,3
exchange_rate,card_payment_wrong_exchange_rate,3
pending_cash_withdrawal,pending_card_payment,3
exchange_charge,wrong_exchange_rate_for_cash_withdrawal,3
order_physical_card,getting_spare_card,3
get_physical_card,card_arrival,2
order_physical_card,card_about_to_expire,2
top_up_reverted,top_up_failed,2
topping_up_by_card,supported_cards_and_currencies,2
compromised_card,card_about_to_expire,2
